Area Identifier,Area Name,House Prices: Reference Period = 2011; measure type = Lower Quartile,House Prices: Reference Period = 2011; measure type = Mean,House Prices: Reference Period = 2011; measure type = Median,House Prices: Reference Period = 2011; measure type = Upper Quartile,House Prices: Reference Period = 2012; measure type = Lower Quartile,House Prices: Reference Period = 2012; measure type = Mean,House Prices: Reference Period = 2012; measure type = Median,House Prices: Reference Period = 2012; measure type = Upper Quartile,House Prices: Reference Period = 2010; measure type = Lower Quartile,House Prices: Reference Period = 2010; measure type = Mean,House Prices: Reference Period = 2010; measure type = Median,House Prices: Reference Period = 2010; measure type = Upper Quartile,House Prices: Reference Period = 2009; measure type = Lower Quartile,House Prices: Reference Period = 2009; measure type = Mean,House Prices: Reference Period = 2009; measure type = Median,House Prices: Reference Period = 2009; measure type = Upper Quartile
http://statistics.gov.scot/id/statistical-geography/S01000117,S01000117,180250,314083,292500,399000,240000,304985,309000,370000,151577,250292,247500,302500,160100,272635,250000,370000
http://statistics.gov.scot/id/statistical-geography/S01000118,S01000118,94500,145813,125025,160000,124000,212962,239500,295000,98500,182809,190000,270000,195000,202761,210000,224995
http://statistics.gov.scot/id/statistical-geography/S01000119,S01000119,94000,121797,118750,145000,109000,125000,119250,146000,105000,136516,137395,150000,90000,119242,119000,146667
http://statistics.gov.scot/id/statistical-geography/S01000120,S01000120,110000,203393,131500,282000,98000,146882,110000,167200,98000,219872,130000,310000,100000,179489,110000,190250
http://statistics.gov.scot/id/statistical-geography/S01000121,S01000121,117000,238549,160000,350000,152152,443069,469950,605950,295000,334531,363140,382500,149250,234750,175000,310000
http://statistics.gov.scot/id/statistical-geography/S01000122,S01000122,114500,139000,148500,163500,90000,108378,90100,127000,108500,137836,141250,175000,80000,84767,83500,95000
http://statistics.gov.scot/id/statistical-geography/S01000123,S01000123,197500,261175,281995,313995,250000,274599,250000,345000,172500,223299,196000,270000,170000,253000,285000,325000
http://statistics.gov.scot/id/statistical-geography/S01000124,S01000124,85000,108455,97250,127000,96750,122938,102500,147500,93000,114767,113000,122500,95000,115115,110000,145000
http://statistics.gov.scot/id/statistical-geography/S01000125,S01000125,85000,130429,148000,160000,122000,133667,130000,155000,84000,107500,121000,130000,116675,135825,137750,151751
http://statistics.gov.scot/id/statistical-geography/S01000126,S01000126,82000,103774,111775,135500,90000,122879,98000,133500,98000,116810,112500,125000,85000,103677,90000,116000
http://statistics.gov.scot/id/statistical-geography/S01000127,S01000127,318000,325714,333000,340000,246000,313545,315000,415000,245000,303967,292000,330000,218000,268244,290100,357580
http://statistics.gov.scot/id/statistical-geography/S01000128,S01000128,90000,106886,96000,124000,104500,145925,118500,232500,122500,188165,219500,228250,83500,115254,104000,128000
http://statistics.gov.scot/id/statistical-geography/S01000129,S01000129,135000,143313,146000,151625,93500,108438,104500,127750,103000,119225,116000,134000,98000,100805,103000,106999
http://statistics.gov.scot/id/statistical-geography/S01000130,S01000130,135275,160341,174000,183000,109000,156557,163000,187000,130000,164156,173750,181006,125000,151499,159950,172000
http://statistics.gov.scot/id/statistical-geography/S01000131,S01000131,110000,172756,125000,225000,115000,201886,190000,271500,100000,155901,135000,173167,92000,152178,117117,190000
http://statistics.gov.scot/id/statistical-geography/S01000132,S01000132,142000,175012,156000,180000,124644,152377,149500,175000,130000,181540,171500,195000,115600,148862,143750,165211
http://statistics.gov.scot/id/statistical-geography/S01000133,S01000133,100000,119916,105000,122000,118000,128496,125000,140000,115000,123936,120000,133000,89000,104667,100000,125000
http://statistics.gov.scot/id/statistical-geography/S01000134,S01000134,85000,96167,87500,95000,95000,113200,120000,125000,97000,119475,122500,145000,89000,109140,90000,143000
http://statistics.gov.scot/id/statistical-geography/S01000135,S01000135,64000,93464,80000,147000,94500,109125,120250,123750,115000,134010,122000,152557,65000,87254,85000,100000
http://statistics.gov.scot/id/statistical-geography/S01000136,S01000136,111000,118065,120000,140000,105000,117167,122000,125000,89000,123736,125000,150000,102125,120405,127500,137500
http://statistics.gov.scot/id/statistical-geography/S01000137,S01000137,145000,155324,153000,172000,98000,135998,117789,146000,125000,155435,150000,177500,114000,153141,136000,189500
http://statistics.gov.scot/id/statistical-geography/S01000138,S01000138,88000,118805,113000,137000,90000,109878,97621,125000,88014,119975,101250,127500,95250,125798,120000,142600
http://statistics.gov.scot/id/statistical-geography/S01000139,S01000139,105000,129309,125000,155160,125000,141429,140000,150000,130000,132570,132000,135300,110000,122929,121000,132000
http://statistics.gov.scot/id/statistical-geography/S01000140,S01000140,125000,140000,133000,142000,145000,146590,149950,150000,135000,152970,157000,165257,137500,144083,147500,150000
http://statistics.gov.scot/id/statistical-geography/S01000141,S01000141,148944,266070,229252,264000,222222,258209,249950,317500,195000,265657,270000,335000,147500,218944,212000,305000
